Preço;Tamanho;Quartos;Banheiros;Vagas;Bairro;Endereço
R$ 600.000;Tamanho do imóvel100 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Palmares;Rua Professor Benito do Carmo
R$ 680.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Caiçara-Adelaide;Rua Antônio Cesário da Rocha
R$ 700.000;Tamanho do imóvel100 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ipiranga;Rua Princesa Isabel
N/D;Tamanho do imóvel160 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Funcionários;Rua dos Aimorés
R$ 5.160.000;Tamanho do imóvel208 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem4;Funcionários;Rua Piauí
N/D;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Cecília Fonseca Coutinho
R$ 3.490.000;Tamanho do imóvel301 m²;Quantidade de quartos4;Quantidade de banheiros3-5;Quantidade de vagas de garagem3;Lourdes;Rua Alvarenga Peixoto
R$ 195.000;Tamanho do imóvel43 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Jardim Vitória;Rua dos Borges
R$ 719.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Liberdade;Rua Custódio de Melo
R$ 450.000;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Sintra
R$ 1.800.000;Tamanho do imóvel178 m²;Quantidade de quartos4;Quantidade de banheiros3-5;Quantidade de vagas de garagem2;Gutierrez;Rua Cônego Rocha Franco
N/D;Tamanho do imóvel358 m²;Quantidade de quartos5;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Avenida Barbacena
N/D;Tamanho do imóvel148 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;São Pedro;
R$ 950.000;Tamanho do imóvel95 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua José Hemetério Andrade
R$ 750.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Vila Cloris;
R$ 339.965;Tamanho do imóvel50 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Gameleira;
R$ 343.500;Tamanho do imóvel49 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Gameleira;
R$ 1.250.000;Tamanho do imóvel190 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Ouro Preto;Rua Professor Domício Murta
R$ 1.186.000;Tamanho do imóvel136 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;São Pedro;Rua Tupaciguara
R$ 1.150.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Carmo;Rua Flórida
R$ 854.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Cesário Alvim
N/D;Tamanho do imóvel128 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem1;Serra;Rua Guaxupé
R$ 2.749.000;Tamanho do imóvel250-255 m²;Quantidade de quartos4;Quantidade de banheiros2-4;Quantidade de vagas de garagem3-4;Lourdes;Rua Curitiba
R$ 6.090.000;Tamanho do imóvel225 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem3;Gutierrez;Rua Oscar Trompowsky
R$ 1.020.000;Tamanho do imóvel65 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Vila Paris;Rua Batista de Figueiredo
R$ 870.000;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Serra;Rua Muzambinho
R$ 2.820.000;Tamanho do imóvel151 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Funcionários;Rua Maranhão
R$ 478.950;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua Stella Hanriot
R$ 830.000;Tamanho do imóvel398 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem2;Vila Cloris;Avenida Doutor Cristiano Guimarães
N/D;Tamanho do imóvel182 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem4;Gutierrez;Rua Oscar Trompowsky
R$ 950.000;Tamanho do imóvel150 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Amélia;Rua Irema Maia Freire
R$ 750.000;Tamanho do imóvel78 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Abrantes
R$ 2.080.000;Tamanho do imóvel110 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Funcionários;Rua Maranhão
R$ 4.800.000;Tamanho do imóvel196 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem4;Santa Efigênia;Rua Piauí
R$ 535.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Santo Antônio;
N/D;Tamanho do imóvel158 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Buritis;Rua Ernani Agricola
R$ 630.000;Tamanho do imóvel62 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;São Pedro;
N/D;Tamanho do imóvel184 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Serra;Rua Luz
R$ 535.000;Tamanho do imóvel103 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Antônio;Rua Benjamim Flores
R$ 625.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Cruzeiro;Rua Alfenas
N/D;Tamanho do imóvel240 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;União;Rua Andesita
N/D;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Liberdade;Rua Vital Brasil
N/D;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros1-3;Quantidade de vagas de garagem2;Gutierrez;Rua Nascimento Gurgel
R$ 270.000;Tamanho do imóvel25 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Bandeirantes (Pampulha);Avenida Otacílio Negrão de Lima
R$ 1.150.000;Tamanho do imóvel200 m²;Quantidade de quartos4;Quantidade de banheiros1-3;Quantidade de vagas de garagem3;Gutierrez;Rua Porto Carrero
R$ 335.000;Tamanho do imóvel28 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Estoril;Rua Desembargador Amílcar de Castro
R$ 420.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Luxemburgo;Rua Doutor Juvenal dos Santos
R$ 570.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Planalto;Rua Josué Azevedo
R$ 676.551;Tamanho do imóvel55 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Liberdade;Rua Boaventura
R$ 740.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Itapoã;
R$ 419.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Manacás;Rua Santo Onofre
R$ 460.000;Tamanho do imóvel54 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Dom Joaquim;
R$ 380.000;Tamanho do imóvel50 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Rio Branco;Rua Zilda
N/D;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;Rua Patagônia
R$ 650.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem2;Sion;Rua São João da Ponte
R$ 799.000;Tamanho do imóvel122 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ouro Preto;Rua Professor Domício Murta
N/D;Tamanho do imóvel149 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ouro Preto;Rua Desembargador Paulo Mota
R$ 3.445.000;Tamanho do imóvel166 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Anchieta;Rua Laranjal
R$ 650.000;Tamanho do imóvel72 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Padre Eustáquio;Rua Doutor Alberto Cavalcanti
R$ 699.900;Tamanho do imóvel79 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Nova Suíssa;Rua Joaquim Nabuco
R$ 853.000;Tamanho do imóvel93 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Itororó
R$ 499.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Letícia;Rua José Benevides da Silveira
R$ 980.000;Tamanho do imóvel101 m²;Quantidade de quartos3;Quantidade de banheiros1-2;Quantidade de vagas de garagem2;Caiçara-Adelaide;Rua Atlântida
R$ 290.000;Tamanho do imóvel44 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Sagrada Família;Rua São Mateus
R$ 675.000;Tamanho do imóvel57 m²;Quantidade de quartos2;Quantidade de banheiros2;N/D;Gutierrez;Avenida Raja Gabaglia
R$ 450.000;Tamanho do imóvel50 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Palmeiras;Rua Senhora do Porto
N/D;Tamanho do imóvel212 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Buritis;Rua Ernani Agricola
R$ 1.050.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cidade Nova;Rua Tabelião Ferreira de Carvalho
R$ 2.150.000;Tamanho do imóvel200 m²;Quantidade de quartos3;Quantidade de banheiros5;Quantidade de vagas de garagem3;Sion;Rua Venezuela
R$ 690.000;Tamanho do imóvel73 m²;Quantidade de quartos2;Quantidade de banheiros1;N/D;Boa Vista;Rua Nova Granada
R$ 1.175.000;Tamanho do imóvel133-145 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Buritis;Rua Sílvio de Oliveira Martins
R$ 1.290.000;Tamanho do imóvel156 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem2;Dona Clara;Rua Etelvina Vaz de Melo
R$ 650.000;Tamanho do imóvel80 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Doutor Alberto Cavalcanti
R$ 599.000;Tamanho do imóvel68 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Indaiá;
R$ 1.000.000;Tamanho do imóvel76 m²;Quantidade de quartos1;Quantidade de banheiros2;Quantidade de vagas de garagem2;Belvedere;Avenida Luíz Paulo Franco
R$ 550.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Coração de Jesus;
R$ 380.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Terezinha;Rua Dona Carmem
R$ 3.240.000;Tamanho do imóvel163 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Funcionários;
R$ 560.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros2-3;Quantidade de vagas de garagem1;Serra;Rua Santa Helena
N/D;Tamanho do imóvel254-255 m²;Quantidade de quartos4;Quantidade de banheiros2-3;Quantidade de vagas de garagem2;Serra;Rua Palmira
R$ 420.000;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Esplanada;Rua Belém
R$ 470.000;Tamanho do imóvel117 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Copacabana;Rua México
R$ 350.000;Tamanho do imóvel65 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;João Pinheiro;Rua Teixeira Leite
N/D;Tamanho do imóvel150 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem3;Buritis;Rua Ernani Agricola
R$ 420.000;Tamanho do imóvel103 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem1;Sagrada Família;Rua São Joaquim
R$ 500.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Buritis;Avenida Senador José Augusto
N/D;Tamanho do imóvel93 m²;Quantidade de quartos3;Quantidade de banheiros2;N/D;Comiteco;Rua Engenheiro Caetano Lopes
R$ 580.000;Tamanho do imóvel53 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Araguaia;Rua Santa Alexandrina
R$ 770.000;Tamanho do imóvel128 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Calafate;Rua Esparta
R$ 852.000;Tamanho do imóvel99 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Planalto;
R$ 965.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2-3;Quantidade de vagas de garagem1-2;Cidade Nova;Rua Professor Costa Chiabi
R$ 349.899;Tamanho do imóvel45 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Estoril;Rua Geraldo Vasconcellos
R$ 990.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Antônio;Rua Antônio Dias
R$ 460.000;Tamanho do imóvel58 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Alto Caiçaras;Rua Professor Francisco Henriques
R$ 520.000;Tamanho do imóvel93 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Mônica;Rua Tobias Barreto
N/D;Tamanho do imóvel155 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Gutierrez;Rua Daniel de Carvalho
R$ 800.000;Tamanho do imóvel134 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Castelo;Rua Castelo da Beira
R$ 928.000;Tamanho do imóvel104 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Liberdade;Rua Aureliano Lessa
N/D;Tamanho do imóvel155 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Liberdade;Rua dos Aeronautas
R$ 498.000;Tamanho do imóvel52 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Branca;Rua Gil Vicente
R$ 379.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Branca;Rua Norte
R$ 885.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem3;Jaraguá;Rua Major Americano de Souza
R$ 5.200.000;Tamanho do imóvel308 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem5;Lourdes;Rua Felipe dos Santos
R$ 320.000;Tamanho do imóvel45-46 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São João Batista (Venda Nova);Rua Antônio Orlindo de Castro
R$ 465.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Bandeirantes (Pampulha);
R$ 495.000;Tamanho do imóvel78 m²;Quantidade de quartos2;Quantidade de banheiros1;N/D;Santo Antônio;Rua Rafael Magalhães
R$ 625.000;Tamanho do imóvel93 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Gutierrez;
R$ 575.000;Tamanho do imóvel124 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Álvaro Camargos;Rua Nicanor Carvalho
N/D;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Planalto;
N/D;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Serra;Rua Joanésia
R$ 800.000;Tamanho do imóvel105 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Savassi;
R$ 570.000;Tamanho do imóvel120 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Heliópolis;Rua Laura Brito Farias
R$ 2.295.000;Tamanho do imóvel180 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem6;Buritis;Avenida Aggeo Pio Sobrinho
R$ 650.000;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Anchieta;Rua Vitório Marcola
R$ 1.100.000;Tamanho do imóvel71 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sion;Rua La Plata
R$ 390.000;Tamanho do imóvel66 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Ouro Preto;Rua Deputado André de Almeida
R$ 1.100.000;Tamanho do imóvel200 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem2;Santo Antônio;Rua Guilherme de Almeida
R$ 1.670.000;Tamanho do imóvel96 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua da Bahia
R$ 1.200.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Dona Clara;Rua Ministro Ivan Lins
R$ 1.810.000;Tamanho do imóvel138 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Funcionários;Rua dos Timbiras
R$ 425.000;Tamanho do imóvel78 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Liberdade;
R$ 755.000;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;União;Rua Artur de Sá
R$ 658.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Fernão Dias;Rua Joaquim Baeta Neves
R$ 470.000;Tamanho do imóvel96 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Sagrada Família;Rua Costa Monteiro
R$ 6.340.000;Tamanho do imóvel309 m²;Quantidade de quartos5;Quantidade de banheiros4-5;Quantidade de vagas de garagem4;Anchieta;Rua Laranjal
R$ 321.000;Tamanho do imóvel25 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Nova Suíssa;Rua Bogari
R$ 599.000;Tamanho do imóvel82 m²;Quantidade de quartos2-3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Indaiá;Rua Borges
R$ 530.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Ouro Preto;
R$ 550.000;Tamanho do imóvel106 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cidade Nova;Rua Cardeal Stepinac
N/D;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Mônica;Rua Tapirapes
R$ 330.000;Tamanho do imóvel43 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São Gabriel;Rua São Dimas
R$ 1.280.000;Tamanho do imóvel320 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem4;Liberdade;
R$ 3.093.098;Tamanho do imóvel166 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Serra;
R$ 670.000;Tamanho do imóvel100 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Rosa;Rua David Alves do Vale
R$ 850.000;Tamanho do imóvel98 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Ouro Preto;Rua Desembargador Alarico Barroso
R$ 355.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Letícia;Rua José Benevides da Silveira
R$ 560.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem4;Planalto;Rua dos Sacramentinos
R$ 870.000;Tamanho do imóvel92 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;União;Rua Domingos Fernandes
R$ 900.000;Tamanho do imóvel115 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3-4;Palmares;Rua Professor Antônio Márcio
R$ 1.350.000;Tamanho do imóvel143 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem23;Lourdes;Rua Tomaz Gonzaga
R$ 315.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Canaã;Rua Tunísia
R$ 300.000;Tamanho do imóvel60 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Havaí;Rua B
R$ 700.000;Tamanho do imóvel92 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Cruzeiro;Rua Jornalista Jair Silva
R$ 810.000;Tamanho do imóvel99 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Benjamim Flores
R$ 860.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Carmo;Rua Grão Mogol
R$ 1.240.000;Tamanho do imóvel241 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Castelo;Rua José Mendes de Carvalho
R$ 450.000;Tamanho do imóvel54 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1-2;Boa Vista;
R$ 1.800.000;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Anchieta;Rua Engenheiro Amaro Lanari
R$ 1.290.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Prado;
R$ 1.250.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Anchieta;Rua Ramalhete
R$ 580.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua Costa Monteiro
R$ 589.000;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Castelo;Rua Elson Nunes de Souza
R$ 730.000;Tamanho do imóvel75 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Boa Viagem;Rua Bernardo Guimarães
R$ 930.000;Tamanho do imóvel118 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Buritis;Rua Tereza Mota Valadares
N/D;Tamanho do imóvel96 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Avenida Altamiro Avelino Soares
R$ 980.000;Tamanho do imóvel164 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Alto Barroca;Rua Santa Cruz
R$ 750.000;Tamanho do imóvel190 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;São José;Rua Artur Itabirano
N/D;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Centro;Rua Santa Catarina
R$ 370.000;Tamanho do imóvel55 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Mônica;Rua Janete Clair
R$ 310.000;Tamanho do imóvel52 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Maria;Rua das Pérolas
R$ 299.500;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros2;N/D;Salgado Filho;Rua Veríssimo
R$ 1.649.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Funcionários;
R$ 1.490.000;Tamanho do imóvel115 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Castelo;Rua Castelo de Tordesilhas
R$ 1.200.000;Tamanho do imóvel180 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem3;Caiçara-Adelaide;Rua Zenite
R$ 730.000;Tamanho do imóvel129 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem3;Barroca;Rua Campos Elíseos
R$ 747.500;Tamanho do imóvel105 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Boa Vista;Rua Nova Granada
R$ 330.000;Tamanho do imóvel68 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São João Batista (Venda Nova);Rua Doutor Álvaro Camargos
R$ 433.372;Tamanho do imóvel49 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Glória;Avenida Brigadeiro Eduardo Gomes
N/D;Tamanho do imóvel180 m²;Quantidade de quartos5;Quantidade de banheiros1-3;Quantidade de vagas de garagem2;Heliópolis;Rua Laura Brito Farias
R$ 895.000;Tamanho do imóvel158 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Colégio Batista;Rua Guanhães
R$ 952.000;Tamanho do imóvel118 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Palmares;Rua Nestor Soares de Melo
R$ 685.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Fernão Dias;Rua Professor Nardelli Bemfica
R$ 750.000;Tamanho do imóvel87 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Alto Caiçaras;Rua Encantado
R$ 1.500.000;Tamanho do imóvel175 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Lúcia;Rua Rigel
R$ 920.000;Tamanho do imóvel87 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Avenida Aggeo Pio Sobrinho
R$ 560.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Sion;Rua Venezuela
R$ 600.000;Tamanho do imóvel117 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Palmares;Rua Manoel Sabino Nogueira
R$ 720.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Ipiranga;Rua Seritinga
